Day,ST02M,ST05M,ST15M,ST30M,T2,SM01,SM02,SM03,SM04,SM05,SM06
0,1.6,2.2,3.1,3.8,-0.4,47.3,38.4,45.9,42.8,38.2,33.1
0.1,1.6,2.1,3.1,3.8,-0.1,47.3,38.4,45.9,42.8,38.1,33
0.2,1.6,2.1,3,3.8,0.4,47.3,38.4,45.9,42.8,38.1,33
0.3,1.5,2.1,3,3.7,0.4,47.3,38.3,45.8,42.7,38.2,33.1
0.4,1.6,2,3,3.7,-0.2,47.3,38.3,45.8,42.7,38.1,33
0.5,1.7,2.1,2.9,3.7,0.5,47.2,38.3,45.6,42.7,38.2,33.1
0.6,2.1,2.2,2.9,3.6,1.7,47.2,38.2,45.6,42.7,38.1,33
0.7,2.1,2.3,3,3.6,0.9,47.2,38.2,45.5,42.7,38.1,33
0.8,1.8,2.2,3,3.6,0.2,47.2,38.2,45.5,42.7,38.1,33
0.9,1.7,2.1,3,3.6,1,47.2,38.2,45.6,42.7,38.1,33
1,1.8,2.1,3,3.6,1.9,47.2,38.2,45.4,42.7,38.1,33
1.1,2.1,2.2,3,3.5,3.5,47.2,38.1,45.4,42.7,38.1,33
1.2,2.2,2.3,3,3.5,3.6,47.2,38.1,45.4,42.6,38.1,33
1.3,2.4,2.4,3,3.5,3.5,47.2,38.1,45.4,42.6,38,33
1.4,2.6,2.5,3.1,3.5,4.1,47.2,38.1,45.4,42.6,38.1,33
1.5,3.1,2.7,3.1,3.5,5.3,47.2,38.1,45.5,42.6,38,32.9
1.6,3.5,2.9,3.2,3.5,5.6,47.2,38.1,45.6,42.6,38.1,33
1.7,3.6,3.2,3.4,3.5,5.7,47.2,38.1,45.4,42.6,38,32.9
1.8,3.6,3.2,3.5,3.5,5.2,47.2,38.1,45.6,42.6,38,33
1.9,3.6,3.3,3.5,3.6,4.7,47.2,38.1,45.9,42.6,37.9,32.9
2,3.4,3.3,3.6,3.6,4.2,47.2,38.2,46.1,42.6,38,33
2.1,3.2,3.2,3.6,3.6,3.2,47.2,38.2,46.1,42.6,38,33
2.2,2.9,3.1,3.6,3.6,2.8,47.2,38.2,46.3,42.6,38,33
2.3,2.8,3,3.6,3.7,3,47.2,38.3,46.3,42.6,38,33
2.4,2.8,2.9,3.5,3.7,4,47.2,38.3,46.4,42.6,37.9,32.9
2.5,3.5,3.1,3.5,3.7,6.3,47.2,38.3,46.4,42.6,38.1,33
2.6,4,3.4,3.6,3.7,6.7,47.2,38.3,46.3,42.6,38,33
2.7,4,3.6,3.7,3.7,5.6,47.2,38.3,46.4,42.6,37.9,32.9
