sample,site,moist_grav,temp,preinc_start,preinc_end,inc_start,inc_end,CO2,C13,flask_vol,dry_soil
1,bare_fallow,1,5,19/05/11 00:00,19/05/11 00:00,19/05/11 00:00,23/06/11 00:00,437,-29.15,125,170
1,bare_fallow,1,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,07/07/11 00:00,606.5,-29.48,125,170
1,bare_fallow,1,20,07/07/11 00:00,07/07/11 00:00,07/07/11 00:00,25/07/11 00:00,885,-28.74,125,170
1,bare_fallow,1,35,25/07/11 00:00,26/07/11 15:00,26/07/11 15:00,29/07/11 14:00,920,-26.65,125,170
1,bare_fallow,1,5,29/07/11 14:00,02/08/11 00:00,02/08/11 00:00,14/10/11 20:30,234.85,,125,170
1,bare_fallow,1,35,14/10/11 20:30,17/10/11 20:51,17/10/11 20:51,16/11/11 00:00,4957.41,-28.59,125,170
2,bare_fallow,1,5,16/05/11 00:00,16/05/11 00:00,16/05/11 00:00,23/06/11 00:00,411,-23.65,125,170
2,bare_fallow,1,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,07/07/11 00:00,596.5,-29.07,125,170
2,bare_fallow,1,20,07/07/11 00:00,07/07/11 00:00,07/07/11 00:00,25/07/11 00:00,926.45,-29.8,125,170
2,bare_fallow,1,35,25/07/11 00:00,26/07/11 15:00,26/07/11 15:00,29/07/11 14:00,894,-27.08,125,170
2,bare_fallow,1,5,29/07/11 14:00,02/08/11 00:00,02/08/11 00:00,14/10/11 20:36,216.15,,125,170
2,bare_fallow,1,35,14/10/11 20:36,17/10/11 20:51,17/10/11 20:51,16/11/11 00:00,3596.01,-28.16,125,170
3,bare_fallow,1,5,16/05/11 00:00,16/05/11 00:00,16/05/11 00:00,23/06/11 00:00,514.5,-27.48,125,170
3,bare_fallow,1,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,07/07/11 00:00,551,-27.08,125,170
3,bare_fallow,1,20,07/07/11 00:00,07/07/11 00:00,07/07/11 00:00,25/07/11 00:00,702,-28.48,125,170
3,bare_fallow,1,35,25/07/11 00:00,26/07/11 15:00,26/07/11 15:00,29/07/11 14:00,847,-26.51,125,170
3,bare_fallow,1,5,29/07/11 14:00,02/08/11 00:00,02/08/11 00:00,14/10/11 20:43,237.46,,125,170
3,bare_fallow,1,35,14/10/11 20:43,17/10/11 20:51,17/10/11 20:51,16/11/11 00:00,4442.22,-28.8,125,170
4,bare_fallow,3,5,19/05/11 00:00,30/05/11 00:00,30/05/11 00:00,23/06/11 00:00,326,-19.11,500,90
4,bare_fallow,3,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,117,,500,90
4,bare_fallow,3,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 20:00,102.5,,500,90
4,bare_fallow,3,35,22/07/11 20:00,25/07/11 20:20,25/07/11 20:20,27/07/11 16:10,108.9,,500,90
4,bare_fallow,3,5,27/07/11 16:10,02/08/11 00:00,02/08/11 00:00,11/10/11 00:00,350.47,,500,90
4,bare_fallow,3,20,11/10/11 00:00,17/10/11 11:30,17/10/11 11:30,17/11/11 00:00,254.34,,500,90
5,bare_fallow,4.8,5,03/05/11 00:00,30/05/11 00:00,30/05/11 00:00,23/06/11 00:00,322,-24.13,500,90
5,bare_fallow,4.8,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,5116,-30.23,500,90
5,bare_fallow,4.8,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 20:00,3643,-29.5,500,90
5,bare_fallow,4.8,35,22/07/11 20:00,25/07/11 20:20,25/07/11 20:20,27/07/11 16:10,2176,-26.9,500,90
5,bare_fallow,4.8,5,27/07/11 16:10,02/08/11 00:00,02/08/11 00:00,11/10/11 00:00,2437.34,-26.85,500,90
5,bare_fallow,4.8,20,11/10/11 00:00,17/10/11 11:30,17/10/11 11:30,17/11/11 00:00,14194.11,-27.19,500,90
6,bare_fallow,5.1,5,03/05/11 00:00,30/05/11 00:00,30/05/11 00:00,23/06/11 00:00,330,-26.44,500,90
6,bare_fallow,5.1,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,5539.5,-29.89,500,90
6,bare_fallow,5.1,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 20:00,4055.5,-29.63,500,90
6,bare_fallow,5.1,35,22/07/11 20:00,25/07/11 20:20,25/07/11 20:20,27/07/11 16:10,3529,-27.35,500,90
6,bare_fallow,5.1,5,27/07/11 16:10,02/08/11 00:00,02/08/11 00:00,11/10/11 00:00,2249.76,-26.57,500,90
