day,temp,moist
0,2.2,0.38
0.1,2.1,0.38
0.2,2.1,0.38
0.3,2.1,0.38
0.4,2,0.38
0.5,2.1,0.38
0.6,2.2,0.38
0.7,2.3,0.38
0.8,2.2,0.38
0.9,2.1,0.38
1,2.1,0.38
1.1,2.2,0.38
1.2,2.3,0.38
1.3,2.4,0.38
1.4,2.5,0.38
1.5,2.7,0.38
1.6,2.9,0.38
1.7,3.2,0.38
1.8,3.2,0.38
1.9,3.3,0.38
2,3.3,0.38
2.1,3.2,0.38
2.2,3.1,0.38
2.3,3,0.38
2.4,2.9,0.38
2.5,3.1,0.38
2.6,3.4,0.38
2.7,3.6,0.38
2.8,3.6,0.38
2.9,3.7,0.38
3,3.8,0.38
3.1,3.8,0.39
3.2,3.7,0.4
3.3,3.5,0.4
3.4,3.5,0.39
3.5,3.6,0.39
3.6,3.7,0.39
3.7,3.8,0.39
3.8,3.7,0.39
3.9,3.6,0.39
4,3.6,0.39
4.1,3.7,0.39
4.2,3.7,0.39
4.3,3.7,0.39
4.4,3.8,0.39
4.5,3.9,0.39
4.6,4,0.4
4.7,4,0.39
4.8,3.7,0.39
4.9,3.4,0.39
5,3.3,0.39
5.1,3.1,0.39
5.2,3,0.39
5.3,2.9,0.39
5.4,2.9,0.39
5.5,3.1,0.39
5.6,3.3,0.39
5.7,3.5,0.39
5.8,3.6,0.39
5.9,3.7,0.39
6,3.8,0.39
6.1,4,0.41
6.2,4.1,0.41
6.3,4.1,0.4
6.4,4.1,0.4
6.5,4.2,0.4
6.6,4.3,0.4
6.7,4.5,0.4
6.8,4.5,0.4
6.9,4.5,0.39
7,4.6,0.39
7.1,4.7,0.4
7.2,4.8,0.4
7.3,4.9,0.4
7.4,5.1,0.4
7.5,5.2,0.4
7.6,5.2,0.4
7.7,5.2,0.4
7.8,5.1,0.4
7.9,4.9,0.4
8,4.8,0.4
8.1,4.7,0.39
8.2,4.7,0.39
8.3,4.8,0.4
8.4,4.9,0.4
8.5,5,0.4
8.6,5.2,0.4
8.7,5.4,0.4
8.8,5.4,0.41
8.9,5.3,0.41
9,5.2,0.41
9.1,4.9,0.41
9.2,4.6,0.41
9.3,4.3,0.4
9.4,4.1,0.4
9.5,4,0.4
9.6,4.1,0.4
9.7,4.2,0.4
9.8,4.1,0.4
9.9,3.9,0.4
10,3.7,0.4
10.1,3.6,0.4
10.2,3.5,0.39
10.3,3.3,0.4
10.4,3.2,0.4
10.5,3.3,0.4
10.6,3.5,0.4
10.7,3.5,0.4
10.8,3.5,0.4
10.9,3.5,0.41
11,3.3,0.4
11.1,3.1,0.4
11.2,3,0.4
11.3,2.8,0.4
11.4,2.7,0.4
11.5,2.7,0.4
11.6,2.6,0.4
11.7,2.6,0.4
11.8,2.5,0.4
11.9,2.4,0.39
12,2.3,0.39
12.1,2.1,0.4
12.2,2,0.4
12.3,1.9,0.4
12.4,1.9,0.39
12.5,1.9,0.39
12.6,2,0.39
12.7,2.2,0.39
12.8,2.3,0.39
12.9,2.4,0.39
13,2.4,0.39
13.1,2.4,0.39
13.2,2.3,0.39
13.3,2.3,0.39
13.4,2.2,0.39
13.5,2.3,0.38
13.6,2.6,0.38
13.7,2.7,0.38
13.8,2.7,0.38
13.9,2.6,0.39
14,2.6,0.39
14.1,2.5,0.39
14.2,2.5,0.39
14.3,2.5,0.39
14.4,2.5,0.39
14.5,2.6,0.39
14.6,2.7,0.39
14.7,2.6,0.39
14.8,2.5,0.39
14.9,2.4,0.39
15,2.4,0.39
15.1,2.5,0.39
15.2,2.5,0.39
15.3,2.5,0.39
15.4,2.6,0.39
15.5,2.8,0.39
15.6,3,0.39
15.7,3.2,0.39
