day,temp,moist
1,275.28,0.28
2,275.95,0.28
3,276.49,0.28
4,276.8,0.292
5,276.87,0.291
6,276.44,0.29
7,277.44,0.3
8,278.14,0.3
9,278.21,0.301
10,277.34,0.302
11,276.57,0.3
12,275.82,0.298
13,275.26,0.293
14,275.62,0.286
15,275.67,0.29
16,276.02,0.29
17,276.55,0.29
18,275.91,0.291
19,275.69,0.311
20,275.21,0.31
21,274.76,0.298
22,274.71,0.29
23,274.26,0.29
24,274.14,0.286
25,273.95,0.287
26,273.82,0.282
27,273.93,0.28
28,274.1,0.298
29,274.13,0.301
30,273.96,0.294
31,273.84,0.289
32,273.86,0.284
33,273.96,0.315
34,274.05,0.312
35,274.13,0.311
36,274.11,0.31
37,274.15,0.32
38,274.28,0.333
39,274.86,0.318
40,275.16,0.315
41,274.62,0.31
42,274.97,0.313
43,274.86,0.32
44,275.15,0.322
45,275.21,0.323
46,276.02,0.32
47,276.26,0.324
48,275.69,0.328
49,275.65,0.321
50,276.12,0.325
51,276.38,0.32
52,276.79,0.325
53,275.97,0.33
54,275.82,0.32
55,275.53,0.32
56,275.92,0.32
57,276.96,0.32
58,277.29,0.327
59,276.74,0.334
60,276.47,0.327
61,276.5,0.32
62,276.29,0.32
63,276.36,0.32
64,276.52,0.32
65,276.34,0.319
66,276.24,0.312
67,277.15,0.31
68,277.3,0.31
69,277.57,0.31
70,277.6,0.31
71,277.28,0.31
72,277.42,0.31
73,277.83,0.303
74,277.83,0.3
75,278.05,0.319
76,278.54,0.323
77,278.84,0.32
78,278.87,0.328
79,279.15,0.32
80,279.9,0.316
81,279.47,0.334
82,278.75,0.329
83,277.81,0.322
84,277.4,0.32
85,277.2,0.32
86,277.49,0.317
87,277.67,0.31
88,278.22,0.31
89,279.04,0.31
90,279.96,0.304
91,280.45,0.3
92,280.75,0.3
93,281.52,0.291
94,281.67,0.29
95,281.44,0.284
96,281.87,0.28
97,282.31,0.274
98,282.02,0.27
99,280.51,0.27
100,280.5,0.28
101,280.89,0.283
102,281.27,0.3
103,281.23,0.294
104,280.51,0.293
105,279.39,0.3
106,279.06,0.3
107,279.19,0.296
108,279.54,0.316
109,279.55,0.32
110,280.76,0.326
111,281.13,0.328
112,281.53,0.32
113,281.9,0.316
114,282.4,0.31
115,282.74,0.31
116,283.01,0.302
117,283.06,0.3
118,282.77,0.3
119,282.99,0.296
120,283.34,0.29
121,283.32,0.311
122,282.34,0.331
123,281.05,0.327
124,280.77,0.32
125,280.83,0.315
126,281.59,0.31
127,282.24,0.303
128,282.05,0.302
129,282.53,0.32
130,282.15,0.323
131,281.92,0.336
132,281.58,0.33
133,281.34,0.339
134,280.89,0.345
135,280.76,0.341
136,281.41,0.335
137,281.87,0.33
138,282.43,0.328
139,282.89,0.33
140,284.25,0.325
141,285.4,0.314
142,286.14,0.303
143,285.62,0.338
144,285.17,0.323
145,284.76,0.315
146,285.3,0.305
147,285.36,0.328
148,284.41,0.366
149,282.9,0.357
150,282.57,0.343
151,283.3,0.325
152,283.58,0.307
153,283.75,0.3
154,284.2,0.304
155,284.75,0.296
156,284.49,0.29
157,284.67,0.281
158,286.22,0.26
159,287.88,0.235
160,288.6,0.211
161,289,0.195
162,288.65,0.246
163,287.77,0.243
164,286.8,0.216
165,285.78,0.202
166,285.35,0.193
167,285.36,0.185
168,285.31,0.177
169,285.77,0.17
170,285.27,0.165
171,284.63,0.16
172,284.4,0.156
173,284.57,0.15
174,284.36,0.146
175,284.69,0.14
176,284.3,0.149
177,284.1,0.142
178,284.77,0.14
179,285.62,0.14
180,285.57,0.14
181,285.02,0.14
182,284.68,0.135
183,284.92,0.13
184,285.65,0.13
185,287.09,0.123
186,287.78,0.12
187,288.27,0.113
188,287.94,0.11
189,287.77,0.179
190,286.04,0.291
191,286.33,0.287
192,287.18,0.296
193,287.01,0.282
194,286.57,0.296
195,287.2,0.293
196,287.67,0.271
197,288.01,0.253
198,288.57,0.25
199,289.07,0.224
200,289.74,0.199
201,290.27,0.175
202,290.12,0.178
203,290.1,0.278
204,289.96,0.247
205,289.16,0.239
206,288.52,0.23
207,288.75,0.225
208,289.38,0.212
209,289.75,0.195
210,289.93,0.315
211,289.53,0.32
212,289.1,0.294
213,288.96,0.265
214,289.38,0.25
215,289.77,0.328
216,289.67,0.331
217,288.85,0.334
218,288.44,0.317
219,288.53,0.304
220,288.9,0.284
221,289.26,0.261
222,288.92,0.267
223,288.52,0.319
224,287.53,0.291
225,287.49,0.286
226,287.13,0.328
227,286.68,0.318
228,286.39,0.315
229,286.25,0.305
230,286.08,0.292
231,285.5,0.285
232,284.81,0.275
233,284.71,0.264
234,284.87,0.251
235,285.02,0.24
236,284.38,0.237
237,284.24,0.231
238,284.61,0.338
239,284.72,0.335
240,285.27,0.311
241,286.48,0.292
242,286.61,0.285
243,286.38,0.275
244,285.62,0.26
245,285.8,0.307
246,285.48,0.316
247,285.96,0.299
248,286.94,0.285
249,287.95,0.264
250,288.07,0.274
251,287.66,0.323
252,286.67,0.304
253,285.95,0.287
254,285.35,0.309
255,285.1,0.344
256,285.88,0.341
257,286.33,0.344
258,286.69,0.34
259,287.25,0.337
260,287.2,0.326
261,287.15,0.314
262,287.64,0.316
263,287.73,0.338
264,286.82,0.353
265,284.89,0.353
266,283.97,0.346
267,283.49,0.34
268,283.82,0.334
269,284.3,0.327
270,285.03,0.32
271,285.2,0.315
272,286.12,0.3
273,286.68,0.286
274,286.53,0.275
275,286.37,0.262
276,286.02,0.25
277,285.31,0.244
278,284.62,0.236
279,284.025,0.23
