"sample","site","moist_grav","temp","CO2","C13","flask_vol","dry_soil","moist_vol","time_accum","tstage","qflag","sec","hour","day","air_vol","air_mol","C_R","order","C_R_r","sd.r","cv.r","sd.acc"
1,"bare_fallow",0.01,5,437,-29.15,125,170,0.018,840,1,FALSE,3024000,840,35,59.6153846153846,0.00244726336905243,7.54908771018291e-05,1,8.98700917878918e-05,3.67084824406456e-05,0.662874050619766,5.00409434893284e-05
1,"bare_fallow",0.01,20,606.5,-29.48,125,170,0.018,72,2,FALSE,4233600,1176,49,59.6153846153846,0.00244726336905243,0.000104771663529198,2,0.00145516199346108,0.000587329205324402,0.675944290336853,7.08198077516551e-05
1,"bare_fallow",0.01,20,885,-28.74,125,170,0.018,432,3,FALSE,5788800,1608,67,59.6153846153846,0.00244726336905243,0.000152881982231393,3,0.000353893477387484,0.000587329205324402,0.675944290336853,0.00010333970298469
1,"bare_fallow",0.01,35,920,-26.65,125,170,0.018,71,4,FALSE,6184800,1718,71.5833333333333,59.6153846153846,0.00244726336905243,0.00015892816231964,4,0.00223842482140338,0.000607969979256554,0.376603969038812,5.98529767216211e-05
1,"bare_fallow",0.01,5,234.85,NA,125,170,0.018,1772,5,FALSE,12861000,3572,148.833333333333,59.6153846153846,0.00244726336905243,4.05698683921386e-05,5,2.2894959589243e-05,3.67084824406456e-05,0.662874050619766,2.68927129942077e-05
1,"bare_fallow",0.01,35,4957.41,-28.59,125,170,0.018,699,6,FALSE,15638400,4344,181,59.6153846153846,0.00244726336905243,0.000856382675179356,6,0.00122515404174443,0.000607969979256554,0.376603969038812,0.000322517114488622
2,"bare_fallow",0.01,5,411,-23.65,125,170,0.018,912,1,FALSE,3283200,912,38,59.6153846153846,0.00244726336905243,7.09994290362741e-05,7,7.78502511362654e-05,3.67084824406456e-05,0.662874050619766,4.70636791169656e-05
2,"bare_fallow",0.01,20,596.5,-29.07,125,170,0.018,72,2,FALSE,4492800,1248,52,59.6153846153846,0.00244726336905243,0.000103044183503984,8,0.00143116921533311,0.000587329205324402,0.675944290336853,6.9652127491941e-05
2,"bare_fallow",0.01,20,926.45,-29.8,125,170,0.018,432,3,FALSE,6048000,1680,70,59.6153846153846,0.00244726336905243,0.000160042386935903,9,0.000370468488277553,0.000587329205324402,0.675944290336853,0.000108179737661205
2,"bare_fallow",0.01,35,894,-27.08,125,170,0.018,71,4,FALSE,6444000,1790,74.5833333333333,59.6153846153846,0.00244726336905243,0.000154436714254085,10,0.00217516498949416,0.000607969979256554,0.376603969038812,5.81614795534014e-05
