"sample","hour","temp","moist","litter_met","litter_str"
1,0,278,0.018,0,0
1,840,278,0.018,0,0
1,841,293,0.018,0,0
1,1608,293,0.018,0,0
1,1609,308,0.018,0,0
1,1718,308,0.018,0,0
1,1719,278,0.018,0,0
1,3572,278,0.018,0,0
1,3573,308,0.018,0,0
1,4344,308,0.018,0,0
2,0,278,0.018,0,0
2,912,278,0.018,0,0
2,913,293,0.018,0,0
2,1680,293,0.018,0,0
2,1681,308,0.018,0,0
2,1790,308,0.018,0,0
2,1791,278,0.018,0,0
2,3645,278,0.018,0,0
2,3646,308,0.018,0,0
2,4416,308,0.018,0,0
3,0,278,0.018,0,0
3,912,278,0.018,0,0
3,913,293,0.018,0,0
3,1680,293,0.018,0,0
3,1681,308,0.018,0,0
3,1790,308,0.018,0,0
3,1791,278,0.018,0,0
3,3645,278,0.018,0,0
3,3646,308,0.018,0,0
3,4416,308,0.018,0,0
4,0,278,0.054,0,0
4,840,278,0.054,0,0
4,841,293,0.054,0,0
4,1556,293,0.054,0,0
4,1557,308,0.054,0,0
4,1672,308,0.054,0,0
4,1673,278,0.054,0,0
4,3480,278,0.054,0,0
4,3481,293,0.054,0,0
4,4368,293,0.054,0,0
5,0,278,0.0864,0,0
5,1224,278,0.0864,0,0
5,1225,293,0.0864,0,0
5,1940,293,0.0864,0,0
5,1941,308,0.0864,0,0
5,2056,308,0.0864,0,0
5,2057,278,0.0864,0,0
5,3864,278,0.0864,0,0
5,3865,293,0.0864,0,0
5,4752,293,0.0864,0,0
6,0,278,0.0918,0,0
6,1224,278,0.0918,0,0
6,1225,293,0.0918,0,0
6,1940,293,0.0918,0,0
6,1941,308,0.0918,0,0
6,2056,308,0.0918,0,0
6,2057,278,0.0918,0,0
6,3864,278,0.0918,0,0
6,3865,293,0.0918,0,0
6,4752,293,0.0918,0,0
7,0,278,0.126,0,0
7,840,278,0.126,0,0
7,841,293,0.126,0,0
7,1556,293,0.126,0,0
7,1557,308,0.126,0,0
7,1672,308,0.126,0,0
7,1673,278,0.126,0,0
7,3572,278,0.126,0,0
7,3573,308,0.126,0,0
7,3834,308,0.126,0,0
7,3835,293,0.126,0,0
7,4387,293,0.126,0,0
8,0,278,0.126,0,0
8,1210,278,0.126,0,0
8,1211,293,0.126,0,0
8,1926,293,0.126,0,0
8,1927,308,0.126,0,0
8,2042,308,0.126,0,0
8,2043,278,0.126,0,0
8,3942,278,0.126,0,0
8,3943,308,0.126,0,0
8,4204,308,0.126,0,0
8,4205,293,0.126,0,0
8,4757,293,0.126,0,0
9,0,278,0.126,0,0
9,1210,278,0.126,0,0
9,1211,293,0.126,0,0
9,1926,293,0.126,0,0
9,1927,308,0.126,0,0
9,2042,308,0.126,0,0
9,2043,278,0.126,0,0
9,3941,278,0.126,0,0
9,3942,308,0.126,0,0
9,4203,308,0.126,0,0
9,4204,293,0.126,0,0
9,4757,293,0.126,0,0
10,0,278,0.162,0,0
10,840,278,0.162,0,0
10,841,293,0.162,0,0
10,1555,293,0.162,0,0
10,1556,308,0.162,0,0
10,1672,308,0.162,0,0
10,1673,278,0.162,0,0
10,3571,278,0.162,0,0
10,3572,308,0.162,0,0
10,3834,308,0.162,0,0
10,3835,293,0.162,0,0
10,4386,293,0.162,0,0
11,0,278,0.162,0,0
11,1210,278,0.162,0,0
11,1211,293,0.162,0,0
11,1925,293,0.162,0,0
11,1926,308,0.162,0,0
11,2042,308,0.162,0,0
11,2043,278,0.162,0,0
11,3941,278,0.162,0,0
11,3942,308,0.162,0,0
11,4203,308,0.162,0,0
11,4204,293,0.162,0,0
11,4756,293,0.162,0,0
12,0,278,0.162,0,0
12,1210,278,0.162,0,0
12,1211,293,0.162,0,0
12,1925,293,0.162,0,0
12,1926,308,0.162,0,0
12,2042,308,0.162,0,0
12,2043,278,0.162,0,0
12,3941,278,0.162,0,0
12,3942,308,0.162,0,0
12,4203,308,0.162,0,0
12,4204,293,0.162,0,0
12,4756,293,0.162,0,0
13,0,278,0.198,0,0
13,840,278,0.198,0,0
